State,District,District_Id,Temprature,Year,Rainfall,Season,Crop,Crop_Id,Area,Production
Karnataka,Bagalkot,0,27,2009,114,Kharif     ,Rice,0,24574,76113
Karnataka,Bagalkot,0,29,2010,126,Whole Year ,Arhar/Tur,1,209,159
Karnataka,Bagalkot,0,31,2011,118,Whole Year ,Bajra,2,565,949
Karnataka,Bagalkot,0,28,2012,128,Whole Year ,Banana,3,190,8168
Karnataka,Bagalkot,0,27,2013,113,Whole Year ,Cashewnut,4,31113,9951
Karnataka,Bagalkot,0,27,2014,112,Whole Year ,Castor seed,5,27,17
Karnataka,Bagalkot,0,30,2015,110,Whole Year ,Coconut ,6,335,5184
Karnataka,Bagalkot,0,26,2016,128,Whole Year ,Coriander,7,460,182
Karnataka,Bagalkot,0,27,2017,120,Whole Year ,Cotton(lint),8,3566,9657
Karnataka,Bagalkot,0,27,2018,117,Whole Year ,Dry chillies,9,1774,643
Karnataka,Bagalkot,0,28,2009,121,Whole Year ,Groundnut,10,14528,28266
Karnataka,Bagalkot,0,27,2010,117,Whole Year ,Jowar,11,6674,9478
Karnataka,Bagalkot,0,28,2011,124,Whole Year ,Maize,12,9797,23455
Karnataka,Bagalkot,0,27,2012,124,Whole Year ,Moong(Green Gram),13,39,33
Karnataka,Bagalkot,0,27,2013,124,Whole Year ,Onion,14,21,204
Karnataka,Bagalkot,0,25,2014,114,Whole Year ,Ragi,15,13,35
Karnataka,Bagalkot,0,27,2015,111,Whole Year ,Sugarcane,16,8608,1000286
Karnataka,Bagalkot,0,29,2016,115,Whole Year ,Sunflower,17,221,294
Karnataka,Bagalkot,0,30,2017,128,Whole Year ,Sweet potato,18,2,29
Karnataka,Bagalkot,0,28,2018,111,Whole Year ,Tapioca,19,258,8892
Karnataka,Bagalkot,0,30,2009,113,Whole Year ,Turmeric,20,10,50
Karnataka,Bagalkot,0,27,2010,113,Whole Year ,Urad,21,1192,455
Karnataka,Bagalkot,0,31,2011,123,Kharif     ,Rice,0,25978,80462
Karnataka,Bagalkot,0,27,2012,117,Kharif     ,Small millets,22,404,649
Karnataka,Bagalkot,0,31,2013,112,Whole Year ,Arhar/Tur,1,160,122
Karnataka,Bagalkot,0,31,2014,126,Whole Year ,Bajra,2,644,1082
Karnataka,Bagalkot,0,27,2015,121,Whole Year ,Banana,3,134,5761
Karnataka,Bagalkot,0,27,2016,126,Whole Year ,Cashewnut,4,31188,9975
Karnataka,Bagalkot,0,25,2017,130,Whole Year ,Castor seed,5,21,16
Karnataka,Bagalkot,0,26,2018,119,Whole Year ,Coconut ,6,336,5200
Karnataka,Bagalkot,0,27,2009,118,Whole Year ,Coriander,7,338,134
Karnataka,Bagalkot,0,29,2010,125,Whole Year ,Cotton(lint),8,4074,11033
Karnataka,Bagalkot,0,27,2011,127,Whole Year ,Dry chillies,9,1676,608
Karnataka,Bagalkot,0,30,2012,119,Whole Year ,Groundnut,10,13878,27002
Karnataka,Bagalkot,0,28,2013,121,Whole Year ,Jowar,11,4959,7043
Karnataka,Bagalkot,0,27,2014,127,Whole Year ,Maize,12,9979,23891
Karnataka,Bagalkot,0,27,2015,128,Whole Year ,Moong(Green Gram),13,13,11
Karnataka,Bagalkot,0,29,2016,118,Whole Year ,Onion,14,47,458
Karnataka,Bagalkot,0,30,2017,116,Whole Year ,Ragi,15,47,130
Karnataka,Bagalkot,0,29,2018,122,Whole Year ,Sesamum,23,1652,452
Karnataka,Bagalkot,0,27,2000,114,Whole Year ,Sugarcane,16,6970,809944
Karnataka,Bagalkot,0,29,2001,126,Whole Year ,Sunflower,17,111,148
Karnataka,Bagalkot,0,31,2002,118,Whole Year ,Sweet potato,18,2,29
Karnataka,Bagalkot,0,28,2003,128,Whole Year ,Tapioca,19,257,8858
Karnataka,Bagalkot,0,27,2004,113,Whole Year ,Turmeric,20,21,106
Karnataka,Bagalkot,0,27,2005,112,Whole Year ,Urad,21,1046,400
Karnataka,Bagalkot,0,30,2006,110,Kharif     ,Arhar/Tur,1,209,138
Karnataka,Bagalkot,0,26,2007,128,Kharif     ,Castor seed,5,27,17
Karnataka,Bagalkot,0,27,2008,120,Kharif     ,Cotton(lint),8,5684,9361
Karnataka,Bagalkot,0,27,2009,117,Kharif     ,Groundnut,10,12058,37266
Karnataka,Bagalkot,0,28,2000,121,Kharif     ,Maize,12,9996,8630
Karnataka,Bagalkot,0,27,2001,117,Kharif     ,Moong(Green Gram),13,4,2
Karnataka,Bagalkot,0,28,2002,124,Kharif     ,Ragi,15,42,109
Karnataka,Bagalkot,0,27,2003,124,Kharif     ,Rice,0,25211,97869
Karnataka,Bagalkot,0,27,2004,124,Kharif     ,Sunflower,17,202,245
Karnataka,Bagalkot,0,25,2005,114,Kharif     ,Urad,21,1526,741
Karnataka,Bagalkot,0,27,2006,111,Whole Year ,Sugarcane,16,7500,739006
Karnataka,Bagalkot,0,29,2007,115,Kharif     ,Bajra,2,590,1499
Karnataka,Bagalkot,0,30,2008,128,Kharif     ,Cotton(lint),8,7661,36179
Karnataka,Bagalkot,0,28,2009,111,Kharif     ,Groundnut,10,9999,35766
Karnataka,Bagalkot,0,30,2000,113,Kharif     ,Jowar,11,1659,2114
Karnataka,Bagalkot,0,27,2001,113,Kharif     ,Maize,12,11778,60881
Karnataka,Bagalkot,0,31,2002,123,Kharif     ,Ragi,15,14,37
Karnataka,Bagalkot,0,27,2003,117,Kharif     ,Rice,0,24097,97257
Karnataka,Bagalkot,0,31,2004,112,Rabi       ,Bajra,2,6,18
Karnataka,Bagalkot,0,31,2005,126,Rabi       ,Cotton(lint),8,150,413
Karnataka,Bagalkot,0,27,2006,121,Rabi       ,Groundnut,10,3028,18093
